City,januari_2008,februari_2008,maret_2008,april_2008,mei_2008,juni_2008,juli_2008,agustus_2008,september_2008,oktober_2008,november_2008,desember_2008,januari_2009,februari_2009,maret_2009,april_2009,mei_2009,juni_2009,juli_2009,agustus_2009,september_2009,oktober_2009,november_2009,desember_2009,januari_2010,februari_2010,maret_2010,april_2010,mei_2010,juni_2010,juli_2010,agustus_2010,september_2010,oktober_2010,november_2010,desember_2010,januari_2011,februari_2011,maret_2011,april_2011,mei_2011,juni_2011,juli_2011,agustus_2011,september_2011,oktober_2011,november_2011,desember_2011,januari_2012,februari_2012,maret_2012,april_2012,mei_2012,juni_2012,juli_2012,agustus_2012,september_2012,oktober_2012,november_2012,desember_2012,januari_2013,februari_2013,maret_2013,april_2013,mei_2013,juni_2013,juli_2013,agustus_2013,september_2013,oktober_2013,november_2013,desember_2013,januari_2014,februari_2014,maret_2014,april_2014,mei_2014,juni_2014,juli_2014,agustus_2014,september_2014,oktober_2014,november_2014,desember_2014,januari_2015,februari_2015,maret_2015,april_2015,mei_2015,juni_2015,juli_2015,agustus_2015,september_2015,oktober_2015,november_2015,desember_2015,januari_2016,februari_2016,maret_2016,april_2016,mei_2016,juni_2016,juli_2016,agustus_2016,september_2016,oktober_2016,november_2016,desember_2016,januari_2017,februari_2017,maret_2017,april_2017,mei_2017,juni_2017,juli_2017,agustus_2017,september_2017,oktober_2017,november_2017,desember_2017,januari_2018,februari_2018,maret_2018,april_2018,mei_2018,juni_2018,juli_2018,agustus_2018,september_2018,oktober_2018,november_2018,desember_2018,januari_2019,februari_2019,maret_2019,april_2019,mei_2019,juni_2019,juli_2019,agustus_2019,september_2019,oktober_2019,november_2019,desember_2019,januari_2020,februari_2020,maret_2020,april_2020,mei_2020,juni_2020,juli_2020,agustus_2020,september_2020,oktober_2020,november_2020,desember_2020,januari_2021,februari_2021,maret_2021,april_2021,mei_2021,juni_2021,juli_2021,agustus_2021,september_2021,oktober_2021,november_2021,desember_2021,januari_2022,februari_2022,maret_2022,april_2022,mei_2022,juni_2022,juli_2022,agustus_2022,september_2022,oktober_2022,november_2022,desember_2022,januari_2023,februari_2023,maret_2023,april_2023,mei_2023,juni_2023,juli_2023,agustus_2023,september_2023,oktober_2023,november_2023
KOTA PEKANBARU,106.92,107.29,109.48,109.6,111.1,114.17,116.74,117.84,118.98,119.62,119.01,119.49,113.76,113.9,113.39,112.78,112.83,112.78,113.13,113.78,114.7,115.19,115.16,115.04,116.11,116.34,115.95,116.11,116.45,117.95,119.83,120.37,120.11,120.08,121.47,123.09,125.56,125.64,124.95,123.8,123.97,124.57,125.7,126.91,127.44,128.13,128.46,129.35,131,130.24,130.2,130.47,130.59,131.64,131.8,132.86,132.81,133.19,133.13,133.68,136.36,137.12,137.18,137.65,137.63,138.96,141.68,142.81,143.15,144.29,144.94,145.49,110.92,110.96,111.13,111.07,111.29,111.89,112.85,114.02,114.51,115.15,117.57,119.56,118.73,118.02,117.98,118.93,119.42,120.31,120.99,121.53,121.04,120.81,121.3,122.8,123.11,122.5,123.16,121.61,121.89,122.29,123.79,123.95,125.12,125.96,127.6,127.95,129.82,129.04,129.53,129.89,130.05,130.24,131,131.26,131.65,132.09,132.52,133.16,133.95,133.59,134.34,134.61,134.58,134.6,135.13,135.38,135.1,135.72,136.29,136.54,136.4,135.96,136.08,136.77,137.53,139.32,140.59,141.09,140.76,140.7,140.34,140.03,103.01,103.39,103.4,103.05,103.5,103.56,103.35,103.43,103.44,104.05,104.37,104.9,105.39,105.04,105.2,105.31,105.27,105.28,105.61,105.54,105.74,106.05,106.46,106.53,107.29,107.75,108.75,109.37,110.17,112.37,113.36,111.95,113.7,112.88,112.99,114.03,114.75,114.97,114.77,114.76,114.78,115.01,115.43,115.38,115.77,115.81,116.63
KOTA DUMAI,104.56,105.29,106.54,107.13,109.2,113.35,115.25,115.47,116.8,117.77,117.72,118.23,118.48,117.88,117.36,116.48,116.7,116.46,118.08,118.36,120.56,119.65,119.37,119.18,120.04,119.65,119.49,120.11,120.35,122.6,126.2,125.87,125.31,125.83,126.92,129.96,132.57,132.75,129.64,128.37,128.47,129.24,130.41,131.49,132.55,133.03,132.62,133.98,134.59,133.75,133.2,133.64,134.65,134.91,135.71,137.13,137.15,136.88,136.74,138.28,140.05,140.63,140.61,140.85,141.42,143.38,146.12,147.01,147.48,149.21,149.88,150.17,110.67,111,111.27,111.72,111.88,112.62,113.55,114.29,115.02,115.5,117.65,119.6,119.16,118.35,118.5,118.95,120.12,120.83,121.77,122.44,122.16,122.3,122.27,122.75,123.55,123.94,124.23,123.43,123.51,124.48,125.05,125.11,125.91,126.5,127.54,127.63,129.65,131.1,130.85,130.57,130.71,131.89,131.95,132.13,132.19,132.29,133.11,133.82,134.3,133.98,134.05,134.24,134.45,135.33,135.19,134.73,134.38,135.05,136,136.3,136.25,135.82,135.92,136.39,137.82,138.92,139.49,139.14,138.04,138.11,137.95,138.05,103.52,103.74,103.69,103.49,104.47,104.59,104.32,104.27,104.25,104.71,105.1,105.94,106.37,105.97,105.93,106.18,106.87,106.89,107.13,106.85,106.96,107.45,107.84,107.7,108.43,108.02,108.73,109.54,111.19,112.93,113.57,112.38,114.14,113.47,113.66,114.66,115.62,115.55,115.53,115.34,115.65,115.98,116.82,116.69,117.3,116.95,117.88
BUNGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.45,111.01,110.62,110.31,109.75,110.63,111.97,112.46,113.13,114.03,116.64,119.06,118.43,116.86,116.06,116.17,116.57,117.29,119.17,119.45,119.2,118.82,118.9,120.6,121.54,121.76,121.38,121.23,120.13,122.13,123.33,123.1,123.02,123.7,124.49,124.35,125.37,125.34,126.23,126.69,126.89,127.98,128.58,128.34,127.98,128.69,129.23,129.64,129.96,129.79,130.2,130.44,130.63,131.04,131.2,131.24,131.25,131.92,132.62,132.83,133.21,132.94,133.4,134,136.14,137.54,137.75,137.57,136.96,136.71,136.01,136.3,104.3,104.68,104.09,103.79,104.3,104.55,104.19,104.25,104.27,104.89,105.35,105.94,106.47,105.98,106.35,106.07,106.29,105.88,106.09,105.88,105.75,106.57,107.21,107.69,109.19,108.77,109.97,111.34,112.35,113.96,115.16,113.5,114.75,113.44,113.42,114.19,115.07,115.25,115.11,115.42,115.59,115.73,116.08,115.69,116.09,116.14,117.08
KOTA JAMBI,165.49,166.24,168.06,169.01,173.29,112.91,114.23,114.65,114.9,114.87,114.79,114.68,115.16,115.92,114.98,113.52,114.62,114.15,115.36,115.76,116.86,118.3,117.9,117.54,119.83,119.4,119.34,119.32,119.33,123.18,125.76,124.93,126.1,126.08,127.57,129.91,132.27,131.85,128.87,126.85,127.45,128.66,129.87,131.2,132.8,132.56,132.61,133.49,134.95,133.21,133.9,133.97,134.91,137.41,137.84,138.42,138.68,138.75,138.26,139.12,141.15,141.88,142.02,141.91,142.71,144.61,149.31,151.1,149.71,151.01,150.68,151.28,112.13,111.26,111.51,111.67,111.93,112.09,113.58,113.76,113.91,114.49,116.99,120.04,118.97,117.19,116.95,117.3,118.69,119.33,121.17,121.47,119.94,120.02,120.59,121.69,122.2,122.47,122.79,121.01,122.09,123.27,124.7,124.86,124.65,126.13,126.76,127.21,127.53,125.74,126.13,126.88,127.27,127.85,128.23,127.98,127.54,127.61,128.67,130.62,131.81,130.71,131.53,131.81,131.66,133.52,132.51,132.61,131.91,133.07,133.27,134.57,133.89,133.5,133.94,134.76,135.27,136.65,137.3,136.15,135.83,135.98,135.76,136.28,103.89,104.67,103.99,103.3,103.6,103.96,103.91,103.94,104.07,104.87,105.47,106.23,106.95,106.45,106.8,106.43,106.85,106.64,106.42,105.95,106.27,106.96,107.48,108,109.22,108.29,109.75,111.43,112.3,114.04,115.52,114.18,114.81,114.63,114,114.9,115.94,115.69,115.5,115.66,116.25,116.33,116.9,116.37,116.85,117.43,118.36
KOTA PALEMBANG,171.79,172.39,175.54,179.71,182.52,112.66,114.15,115.05,116.26,116.16,115.7,115.92,115.59,116.02,115.85,115.53,115.73,115.95,116.43,116.27,117.77,117.95,118.03,118.07,118.79,119.12,118.75,118.76,119.02,120.15,121.83,121.92,123.15,123.08,124.51,125.18,126.21,125.81,124.84,124.49,125.47,126.28,127.16,128.04,128.8,129.44,129.46,129.91,130.13,129.56,129.61,130.25,130.36,131.26,131.87,132.54,132.15,132.69,133.01,133.44,134.29,135.24,136.39,136.44,135.88,137.48,141.49,142.31,141.68,142.86,142.79,142.84,109.07,108.81,108.59,108.44,108.41,109,109.97,110.08,110.6,111.49,113.83,116.96,115.61,115.05,115.41,115.96,116.61,117.06,118.29,118.61,118.16,118.38,119.19,120.53,120.91,120.78,121.05,120.82,121.62,122.18,123.55,123.23,123.53,123.43,124.13,124.96,125.62,125.73,125.61,125.51,126.31,127.4,127.56,127.3,127.19,127.29,127.73,128.52,129.29,129.21,129.72,130.1,130.3,131.15,131.14,130.92,130.39,130.57,130.84,132.09,132.27,131.95,131.94,132.67,133.17,133.92,134.44,134.23,134.01,133.89,134.29,134.81,103.71,103.98,104.02,103.89,104.03,104.23,103.94,103.58,103.53,103.7,104.02,104.62,105.07,104.99,105.17,105.52,105.5,105.49,105.43,105.39,105.44,105.51,106.1,106.55,107.55,107.54,108.29,109.33,110.22,111.21,112.06,111.11,112.53,112.42,112.36,112.89,113.29,113.39,113.63,114.01,113.95,114.4,114.73,114.68,115.11,115.72,116.36
KOTA LUBUKLINGGAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.97,107.53,107.39,106.76,107.16,107.66,109.51,109.58,110.06,110.76,113.05,116.47,115.17,113.88,113.91,115.04,115.62,116.62,118.84,119.42,119.23,118.57,118.84,120.51,121.1,120.58,121.28,120.37,120.77,121.64,122.23,121.76,122.72,123.11,123.68,123.81,124.86,125.23,125.14,125.39,126.07,127.33,127.07,127.36,126.79,126.87,127.76,128.69,129.82,129.79,130.18,130.56,130.65,130.9,131.27,131.36,130.98,131.02,131.35,131.8,132.14,131.61,131.76,132.24,133.4,134.06,134.66,134.57,134.15,134.19,134.24,134.57,103.43,103.83,103.9,103.45,103.86,104.18,103.99,103.88,103.92,104.31,104.67,105.08,105.4,105.29,105.26,105.6,105.96,105.88,105.76,105.54,105.78,106.11,106.42,106.79,107.68,107.63,108.34,109.29,110.36,111.3,112.06,111.5,112.66,112.46,112.36,113.02,113.4,113.44,113.56,113.96,114.11,114.39,114.74,114.69,115.08,115.3,115.68
KOTA BENGKULU,161.14,161.96,165.13,165.49,169.11,112.19,115.14,115.18,116.24,117.22,116.75,116.64,116.62,117.1,116.74,115.88,115.69,115.88,117.74,118.37,120.58,121.29,120.28,120,122.18,122.32,121.62,121.9,121.43,124.24,128.01,127.51,129.06,127.73,129.08,130.9,133.1,133.35,131.16,129.98,130.24,131.51,132.73,134.97,136.32,136.26,136.02,136.08,137.35,136.12,135.95,135.99,136.4,137.82,139.71,142.17,141.97,142.27,141.54,142.35,144.02,145.02,146.06,146.43,146.17,148.69,153.74,155,155.51,155.99,155.96,156.5,113.52,113.25,113.29,113.24,112.57,113,116.3,117.08,117.93,118.39,120.89,124.55,123.53,121.73,121.96,122.63,123.09,124.19,125.91,128.41,128.13,127.47,127.59,128.6,129.46,129.14,129.19,128.1,129.23,130.98,133.26,133.95,134.05,134.76,134.84,135.03,136.36,136.65,136.96,136.55,137.31,138.1,138.59,138.86,138.8,138.63,138.87,139.84,141.22,140.8,141.32,141.69,142.15,143.3,144.55,141.95,142.79,141.73,142.01,143.13,144.39,143.98,143.65,144.43,146.04,147.15,147.98,146.7,147.64,146.82,146.43,147.3,103.56,103.65,103.63,103.27,103.69,103.73,103.49,103.72,103.8,103.82,104.18,104.33,104.74,104.89,105.13,105.24,105.36,105.69,105.56,105.73,105.91,105.89,106.44,106.85,107.43,107.32,108.11,109.68,110.26,110.92,111.93,111.66,113.02,112.86,112.92,113.18,113.88,113.92,114.22,114.54,114.74,114.98,115.54,115.46,115.73,116.05,116.4
KOTA BANDAR LAMPUNG,159.65,161.92,163.78,163.9,167.96,111.88,114.34,115.53,117.42,118.18,118.25,118.29,119.45,119.08,119.38,117.88,117.44,117.84,118.77,120.35,123.55,123.26,123.55,123.24,123.84,124.51,123.43,124.49,124.79,126.55,128.34,130.86,132.1,133.02,134.46,135.5,136.62,137.57,137,136.86,136.82,137.21,138.34,139.32,140.37,141.24,140.97,141.24,142.13,141.98,141.68,142.24,142.48,143.6,144.35,145.97,146.44,146.78,146.35,147.31,148.79,149.88,151.33,150.6,150,151.19,155.35,157.33,157.69,158.47,158.01,158.44,110.08,110.1,109.94,109.89,109.93,110.79,112.01,112.88,113.13,114.07,115.26,118.4,117.65,117.31,117.87,118.77,119.55,120.39,121.69,122.19,122.22,122.33,122.47,123.9,124.22,123.59,124.2,123.26,123.34,124.26,124.92,124.78,125.16,125.88,126.42,127.31,128.38,129.13,129.05,128.78,129.92,130.62,130.5,129.95,130.28,130.42,130.7,131.31,133.17,133.25,133.4,133.39,133.32,134.62,134.56,134.63,134.36,134.39,134.73,135.15,135.47,135.02,135.49,136.42,137.53,138.4,139.38,139.55,139.3,139.17,139.26,139.92,105.25,105.71,105.25,105.08,104.78,104.81,105.16,105.59,105.32,105.56,105.65,106.36,107.21,107.34,107.14,106.95,107.05,107.26,107.41,106.84,106.92,107,107.57,108.63,109.04,108.6,109.61,110.5,111.14,112.5,113.34,112.95,114.48,113.91,113.92,114.63,115.57,115.76,115.84,116.19,116.06,116.26,116.29,116.69,117.08,117.41,118.64
KOTA METRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.47,122.58,121.33,120.34,120.75,121.29,122.44,122.59,122.24,122.46,123.69,126.89,126.67,125.45,125.76,125.9,126.93,128,129.69,129.26,129.45,129.49,129.16,130.28,131.12,131.67,131.84,130.78,130.75,131.63,132.02,132.86,133.06,133.11,133.91,134.08,135.04,135.42,135.01,134.78,135.94,136.59,136.49,136.31,136.45,136.77,136.88,137.19,137.85,138.11,138.34,138.18,137.73,138.44,138.37,138.65,138.39,138.69,139.06,139.44,139.63,139.58,139.8,140.52,141.21,141.89,142.49,143.08,142.64,142.5,143.01,143.58,104.88,105.08,105.36,105.12,104.75,105.02,105.14,105.2,105.3,105.35,105.77,106.31,106.87,107.18,106.83,106.68,107.36,107.43,107.71,107.41,107.29,107.63,108.15,109.22,109.82,109.6,110.54,111.9,112.62,113.82,114.48,113.4,114.54,114.31,114.37,115.09,115.97,116.16,115.9,116.25,116.54,116.55,116.83,116.75,117.14,117.66,118.64
TANJUNG PANDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.12,116.63,115.43,114.68,115.32,116.28,118.89,121.24,121.1,120.95,122.87,126.82,128.58,126.08,123.59,123.99,125.05,125.91,125.3,128.17,129.71,127.18,126.38,127.94,127.91,129.21,127.63,126.79,128.44,130.32,133.37,132.6,131.7,132.11,133.03,134.23,136.53,136.14,134.11,135.36,136.58,139.08,138.91,137.94,136.74,137.14,137.5,139.56,140.17,139.77,139.7,139.32,139.76,141.55,142.75,143.46,141.85,142.7,142.16,143.35,145.12,143.93,144.32,145.97,146.27,145.67,147.46,146.95,147.65,147.77,146.21,147.92,104.92,103.66,103.53,103.33,104.57,104.85,105.12,104.42,104.63,105.1,105.07,106.64,107.74,108.04,107.85,107.83,108.39,108.78,109.02,109.32,109.74,109.26,109.67,110.92,111.52,109.2,110.61,113.46,116,115.97,117.27,115.34,115.8,114.64,113.91,115.54,117.52,117.21,118.03,118.25,119.76,119.72,120.42,119.94,121.63,120.87,120.62
KOTA PANGKAL PINANG,161.1,164.44,164.52,166.17,170.18,114.05,115.2,118.55,118.91,119.42,118.31,119.07,119.8,118.53,118.14,117.09,117.15,117.26,118.07,119.16,120.96,121.44,120.52,121.65,123.24,123.43,123.32,123.25,122.92,123.82,126.75,128.31,130.24,130.02,131.33,133.04,136.26,137.79,135.59,134.58,134.96,136.2,136.33,140.49,141.73,140.81,139.13,139.69,143.64,142.09,142.57,145.08,143.41,143.65,148.2,148.89,149.99,147.96,147.52,148.87,150.73,152.52,155.12,156.14,155.4,157.12,162.22,162.47,161.02,161.25,159.83,161.83,114.92,112.5,110.52,112.25,110.83,111.1,113.16,113.36,114.82,114.04,115.29,118.26,119.38,118.32,117.77,118.79,118.06,117.9,121.65,122.35,123.38,123.12,121.87,123.77,124.92,125.41,125.74,124.55,124.41,127.07,128.54,129.73,130.56,130.12,130.85,133.4,135.69,134.19,134.7,136.08,134.81,136.38,135.94,134.88,135.08,134.99,135.15,136.95,138.69,137.54,137.92,139.31,137.93,140.44,140.92,139.47,139.54,139.07,139.06,141.67,142.99,142.3,141.22,142.26,144.79,146.22,145.62,145.48,145.61,145.58,144.39,144.94,104.04,103.33,103.26,102.31,102.83,103.04,103.1,102.47,102.52,102.19,102.71,103.44,104.65,104.3,104.18,104.49,104.73,104.97,104.63,104.35,104.98,105.01,105.82,107.16,108.47,107.89,109.08,111.06,112,111.75,112.88,111.52,112.68,112.34,112.55,113.66,113.55,113.2,113.49,114.15,114.16,114.62,114.95,115.02,115.72,115.58,115.64
KOTA BATAM,140.24,141.84,143.01,143.77,144.64,107.86,109.07,109.16,109.71,109.84,110.5,110.35,110.36,111.01,111.06,110.38,110.41,110.58,110.75,111.12,112.53,112.79,112.57,112.43,113.85,114.07,114.36,114.39,114.64,116.27,117.3,118.28,118.32,119.53,120.02,120.75,121.74,122.2,121.6,121.08,121.51,122.21,123.1,123.75,124.73,125.07,125.18,125.29,125.91,125.33,125.58,125.55,125.81,126.38,126.65,126.85,127.2,127.3,126.99,127.82,129.02,129.72,129.37,129.6,129.99,130.92,133.75,134.96,135.67,136.04,136.89,137.8,109.53,109.71,109.82,109.24,109.32,109.61,110.87,111.42,111.95,112.28,113.95,117.01,116.53,115.94,116.23,116.76,117.66,118.68,120.82,121.67,121.52,120.71,121.34,122.54,123.14,122.61,122.93,121.88,121.8,123.58,125.32,124.9,125.34,125.43,126.63,126.96,127.81,127.92,126.86,127.47,128.18,129.64,129.49,129.5,130.18,131.12,131.26,132.2,133.51,133.43,133.79,133.36,133.5,135.22,135.54,134.65,134.53,134.71,135.4,137.03,137.14,137.5,137.48,137.73,139.15,139.48,140.33,139.12,138.35,137.97,137.96,139.73,103.67,103.51,103.11,103.18,103.34,103.4,103.22,103.24,103.12,103.25,103.58,104.67,105.38,104.75,104.73,104.89,105.16,105,105.47,105.01,105.36,105.7,106.61,107.23,108.02,107.5,108.28,109.49,110.35,111.28,111.96,111.4,112.6,112.56,112.33,113.61,113.31,113.88,113.51,114.04,113.75,114.34,114.65,114.85,114.99,115.41,116.29
KOTA TANJUNG PINANG,103.59,104.62,106.18,107.13,108.96,111.63,112.42,115.11,115.35,115.1,116.84,116.72,118.12,118.45,117.09,116.22,115.57,116.24,116.79,116.92,117.74,118.63,118.3,118.39,118.92,119.68,119.34,119.43,119.97,121.87,122.02,124.18,123.89,123.86,125.37,125.69,127.63,129.18,127.3,126.82,127.24,126.52,126.84,128.69,129.04,130.23,129.83,129.86,131.45,131.04,130.78,130.4,130.06,130.78,131.49,134.1,134.52,133.06,133.58,134.95,137.5,138.63,137.43,137.42,137.79,138.77,143.87,145.45,147.92,147.49,147.64,148.56,112.41,113.39,113.56,112.57,111.87,112,113.78,114.38,114.45,115.2,116.09,119.33,119.56,119.04,118.79,119.54,120.06,120.78,121.83,121.42,122.24,121.01,121.23,122.27,123.41,123.84,124.2,122.47,122.61,123.42,124.8,124.88,125.04,125.36,125.74,126.01,127.23,127.98,127.16,126.83,127.35,127.94,128.47,128.73,129.16,129.13,129.18,130.26,130.49,130.68,130.45,130.28,130.94,131.26,131.85,132.15,131.98,132.36,132.22,133.34,133.96,134.01,133.63,133.84,135.03,135.46,136.23,135.71,135.56,135.19,134.96,136.54,103.46,103.26,102.85,102.61,102.62,102.71,103.06,103.18,102.85,103.23,103.78,104.8,105.39,104.77,104.33,103.95,103.98,103.96,104.33,104,104.2,104.37,105.26,105.7,106.1,106.19,106.57,107.47,108.57,109.44,110.16,109.57,110.58,110.2,110,110.94,110.82,111.17,111.13,111.37,111.07,111.39,111.78,111.8,112.27,112.35,113.12
DKI JAKARTA,154.85,155.3,156.58,157.82,160.2,109.33,110.71,110.98,112.11,112.58,112.96,113.08,112.81,112.56,112.93,112.76,112.95,113.1,113.51,114.02,115.06,115.2,115.14,115.73,116.56,116.72,116.8,117.06,117.35,118.21,119.53,120.71,121.32,121.59,121.99,122.92,123.5,123.76,123.75,123.84,124.02,124.55,125.31,126.75,126.91,126.58,127.18,127.8,128.41,128.63,128.86,129.03,129.19,129.68,130.39,131.44,131.95,132.65,132.84,133.58,134.75,135.63,136.2,135.87,135.77,137.03,141.36,142.7,143,142.95,143.15,144.27,110.75,111.3,111.51,111.55,111.61,112.07,113.38,113.94,114.12,114.58,116.22,119.41,118.92,119.2,119.43,119.75,120.16,120.58,121.75,122.37,122.38,122.32,122.47,123.35,123.65,123.57,123.75,123.41,123.65,124.29,125.09,125.1,125.32,125.63,125.93,126.27,127.52,127.94,128,127.97,128.6,129.19,129.71,129.88,129.94,130.02,130.12,130.97,131.53,132.02,132.14,132.22,132.82,133.46,133.81,133.85,133.68,134.05,134.45,135.25,135.58,135.93,136.12,136.67,137.47,138.12,138.47,138.7,138.65,138.94,139.2,139.62,104.56,104.84,105.19,105.49,105.47,105.53,105.48,105.37,105.39,105.4,105.68,105.96,106.11,106.3,106.36,106.45,106.89,106.6,106.56,106.65,106.59,106.67,107.1,107.58,108.07,108.02,108.49,109.25,109.32,109.67,110.29,110.17,111.5,111.44,111.5,112.11,112.21,112.42,112.83,113.28,113.17,113.18,113.39,113.4,113.61,113.76,114.1
KOTA BOGOR,104.94,107.06,108.13,108.31,111.51,112.79,113.59,113.88,115.47,116.06,116.3,116,115.61,116.3,116.92,116.37,116.39,116.6,116.79,117.82,118.6,118.08,117.92,118.5,119.33,119.5,119.81,120.59,120.62,121.53,123.51,124.39,124.86,124.97,125.87,126.29,126.88,126.93,126.92,126.73,126.91,127.92,128.64,128.91,128.92,129.29,129.8,129.89,130.12,130.35,130.16,130.39,130.35,130.69,131.4,134.12,134.66,135.03,134.95,135.16,135.95,136.72,138.77,138.6,138.61,140.83,147.11,147.72,146.67,146.86,146.24,146.71,111.73,112.12,112.43,111.95,112.07,112.59,113.37,113.75,114.16,114.62,116.33,118.49,117.05,117.21,118.09,118.93,119.38,119.96,120.55,121.25,121.3,120.45,120.77,121.69,122.76,122.73,122.98,122.58,123.03,123.58,123.98,124.26,124.37,125.11,125.87,126.07,127.76,128.2,128.32,128.41,129.14,129.95,130.13,129.66,130.43,130.77,131.3,131.86,132.75,133.21,133.48,133.74,133.79,134.66,135.31,135.17,134.82,135.14,135.67,136.73,137.26,136.71,137.09,137.77,138.57,139.82,140.02,140.54,139.87,140.1,140.44,140.86,105.65,105.91,105.95,105.93,105.94,106.23,106.22,106.05,106.17,106.31,106.65,107.12,107.32,107.58,107.64,107.9,108.33,108.15,108.23,108.32,108.21,108.3,108.58,109.19,109.77,109.91,110.98,111.74,112.35,113.19,113.81,113.3,114.64,114.75,114.98,115.54,116.25,116.67,116.85,117.22,117.48,117.69,117.97,117.87,118.06,118.2,119.16
KOTA SUKABUMI,103.8,104.84,105.66,105.87,106.13,109.1,109.66,110.85,112.83,114.26,114.07,114.32,114.46,114.88,116.23,116.65,116.56,116.64,116.99,117.58,118.1,118.01,118,118.31,119.29,119.44,119.03,119.15,119.65,120.24,121.16,123.52,123.8,123.87,124.13,124.73,125.27,125.28,125.13,124.89,125.21,125.81,126.87,128.01,128.71,128.82,129.39,130.04,131.44,131.62,131,131.14,131.54,132.41,133.76,134.02,134.12,134.68,134.94,135.21,136.69,137.96,138.29,137.96,137.71,139.76,144.1,145.3,145.36,145.65,145.4,146.07,111.29,111.98,112.25,112.15,112.65,113.19,113.73,114.02,114.37,114.72,116.51,119.34,118.85,118.96,119.09,119.06,119.62,119.79,120.43,121.2,120.94,121,121.34,121.96,122.78,122.82,122.62,122.01,122.36,123.03,124.17,123.87,123.99,124.01,124.53,125.09,126.1,126.58,126.87,127.34,127.96,129.26,129.04,129.15,129.13,129.23,129.47,130.22,131.25,131.53,131.7,131.74,131.99,132.58,133.3,133.17,132.77,132.93,133.36,134.06,134.49,134.3,134.35,134.97,135.84,136.34,136.72,136.66,136.41,136.36,136.74,137.19,104.17,104.44,104.75,104.82,104.85,105.02,104.96,104.73,104.65,104.67,105.04,105.65,105.92,105.99,106.19,106.51,106.61,106.48,106.59,106.56,106.45,106.49,107.1,107.46,108.09,108.21,108.93,109.78,110.05,110.69,111.17,111.13,112.61,112.56,112.76,113.32,113.75,114.1,114.27,114.82,115.04,115.22,115.5,115.48,115.74,115.8,116.18
KOTA BANDUNG,160.15,161.43,162.4,163.23,165.83,110.27,111.34,111.8,112.78,113.59,113.36,112.7,112.37,112.24,112.82,112.78,112.56,112.66,112.99,113.56,114.51,114.85,114.83,115.08,115.71,116.01,116.05,116.21,116.31,116.6,118.07,118.67,119.18,119.07,119.71,120.29,120.67,120.61,120.6,120.58,120.73,120.93,121.55,122.01,121.77,122,122.57,123.6,125.13,125.07,125.14,125.37,125.08,125.77,127.11,127.94,128.02,128.46,128.33,128.57,129.39,130.72,131.54,131.27,131.72,133.42,137.56,139.46,138.78,138.7,138.37,138.82,109.87,110.3,110.42,110.48,110.69,110.91,111.73,112.19,112.83,112.99,114.43,117.11,117.05,116.62,117.33,117.84,118.17,119.02,120.03,120.62,120.61,120.54,120.77,121.71,122.36,122.18,122.42,122.21,122.5,123.23,124.11,123.5,123.67,123.84,124.49,125.28,125.89,126.37,126.35,126.48,127.08,128.34,127.99,128.07,128.21,128.17,128.67,129.61,130.68,130.97,131.24,131.59,131.88,132.51,132.73,132.71,132.39,133.05,133.53,134.48,134.6,134.49,134.53,135.11,136.25,136.39,137.14,137.97,137.59,137.41,137.6,138.22,104.26,104.63,104.89,105.06,104.8,105.23,105.08,104.98,104.93,105.01,105.28,105.69,105.8,105.89,106.05,106.25,106.68,106.58,106.78,106.88,106.73,106.8,106.95,107.43,107.92,108.07,108.98,110.2,110.61,111.43,112.1,111.83,112.85,112.98,113.12,115.43,115.87,116.17,114.43,114.8,114.92,115.08,115.34,115.32,115.45,115.54,115.79
